names,prices,reviews,more_4000
Sunrise Montemare Resort -Grand Select,8851,Wonderful,1
Sunrise Diamond Beach Resort -Grand Select,8418,Wonderful,1
Tamra Beach Resort,7949,Excellent,1
Albatros Laguna Vista Resort,7631,Wonderful,1
Reef Oasis Beach Resort,7400,Very Good,1
Charmillion Club Aquapark,5666,Excellent,1
Park Regency Sharm El Sheikh Resort (Formerly Hyatt Regency),5593,Good,1
Parrotel Beach Resort,5482,Very Good,1
Sultan Gardens Resort,5456,Excellent,1
Amphoras BeachOpens in new window,5361,Very Good,1
Charmillion Sea Life Resort,5333,Excellent,1
Pyramisa Beach Resort Sharm El Sheikh,5084,Good,1
Sharm Dreams ResortOpens in new window,4940,Very Good,1
Charmillion Club Resort,4848,Very Good,1
Amphoras Blu,4688,Very Good,1
"Domina Coral Bay Resort, Diving , Spa & Casino",4336,Review score,1
Grand Oasis ResortOpens in new window,4113,Good,1
Savoy Sharm El Sheikh,3949,Very Good,0
Tropitel Waves Naama Bay Hotel,3873,Wonderful,1
Hotel Novotel Sharm El-Sheikh,3566,Good,1
Aurora Oriental Resort Sharm El SheikhOpens in new window,3247,Good,1
Solymar Naama Bay,3015,Good,0
IL Mercato Hotel & Spa,2619,Good,0
"Albatros Palace Sharm - ""Aqua Park""",10773,Exceptional,1
Falcon Hills Hotel,1467,Good,0
